no_cargo,CATEGORIA
ANALISTA INFO. JUNIOR6,ANALISTA
ANALISTA INFO. JUNIOR7,ANALISTA
ANALISTA INFO. PLENO,ANALISTA
ANALISTA INFO. PLENO1,ANALISTA
ANALISTA INFO. PLENO2,ANALISTA
ANALISTA INFO. PLENO3,ANALISTA
ANALISTA INFO. PLENO4,ANALISTA
ANALISTA INFO. PLENO5,ANALISTA
ANALISTA INFO. PLENO6,ANALISTA
ANALISTA INFO. PLENO7,ANALISTA
ANALISTA INFO. SENIOR,ANALISTA
ANALISTA INFO. SENIOR1,ANALISTA
ANALISTA INFO. SENIOR2,ANALISTA
ANALISTA INFO. SENIOR3,ANALISTA
ANALISTA INFO. SENIOR4,ANALISTA
ANALISTA INFO. SENIOR5,ANALISTA
ANALISTA INFO. SENIOR6,ANALISTA
ANALISTA INFO. SENIOR7,ANALISTA
ANALISTA JUDICIARIO,ANALISTA
ANALISTA JUDICIARIO 2,ANALISTA
ANALISTA LEGISLATIVO,ANALISTA
ANALISTA MINISTERIAL,ANALISTA
ANALISTA PROGRAMADOR,ANALISTA
ANALISTA SUPORTE TECNICO,ANALISTA
ANALISTA SUPORTE TECNICO JR 1,ANALISTA
APOIO NIV FUNDAMENT TEMPORARIO,ADMINISTRATIVO
APOIO NIV.FUNDAMENT.TEMPORARIO,ADMINISTRATIVO
APOIO NIVEL MEDIO - TEMPORARIO,ADMINISTRATIVO
APOIO NIVEL MEDIO TEMPORARIO,ADMINISTRATIVO
APOSENTADO,APOSENTADO
APOSENTADO  P A I,APOSENTADO
APROPRIADOR DE CUSTOS,TECNICO
APURADOR DE DADOS,TECNICO
ARQUITETO,TECNICO
ARQUITETO  I1,TECNICO
ARQUITETO  I7,TECNICO
ARQUITETO  IV1,TECNICO
ARQUITETO (ESTATUTARIO),TECNICO
ARQUITETO D7,TECNICO
ARQUITETO(A),TECNICO
ARQUIVISTA,TECNICO
ARQUIVISTA  PESQUISADOR,TECNICO
ARQUIVISTA MUSICO,TECNICO
ARQUIVISTA PESQUISADOR,TECNICO
ARRUMADEIRA,TECNICO
ART SOLDADOR,TECNICO
ART. SOLDADOR,TECNICO
ARTICULADOR,TECNICO
ARTIFICE,TECNICO
ARTIFICE - B7,TECNICO
ARTIFICE - C7,TECNICO
ARTIFICE - D7,TECNICO
ARTIFICE  II7,TECNICO
ARTIFICE (ESTATUTARIO),TECNICO
ASCENSORISTA,TECNICO
ASPIRANTE A OFICIAL,MILITAR
ASS BOMBEIRO MILITAR AL-AS-003,ASSESSOR
ASS DE PSICOLOGIA AL-AG-003,ASSESSOR
ASS ESPECIAL I AL-AS-003,ASSESSOR
ASS ESPECIAL I AL AS 003,ASSESSOR
ASS ESPECIAL II AL-AS-004,ASSESSOR
ASS GAB JUIZO 1 GRAU,ASSESSOR
ASS GERENCIAL I AL-AG-002,ASSESSOR
ASS GERENCIAL II AL-AG-003,ASSESSOR
ASS JURIDICO II AL-AS-004,ASSESSOR
ASS JURIDICO OUVIDORIA AL-OG-0,ASSESSOR
ASS MILITAR ADJUNTO AL-AS-004,ASSESSOR
ASS MILITAR ADJUNTO AL AS 004,ASSESSOR
ASS MILITAR LEGISLAT AL-AS-003,ASSESSOR
ASS MILITAR LEGISLAT AL AS 003,ASSESSOR
ASS MILITAR LEGISLATIVO AL-AS-,ASSESSOR
ASS POPULAR AL-OG-004,ASSESSOR
ASS TEC REG MERCANTIL  C7,ASSESSOR
ASS TECNICO AL-AS-004,ASSESSOR
ASS TECNICO GNM 3-01,ASSESSOR
ASS TECNICO GNM 3-21,ASSESSOR
ASS. ADMINISTRATIVO,ASSESSOR
ASS. ASSUNTO ADMINISTRATIVO,ASSESSOR
ASS. CONTABILIDADE,ASSESSOR
ASS. DO SETOR DE COMPRAS,ASSESSOR
ASS. DO SUPERINTENDENTE,ASSESSOR
ASS. ESP/ASS/CULT.,ASSESSOR
ASS. IMP.REL PUBLICAS,ASSESSOR
ASS. PLANEJAMENTO,ASSESSOR
ASS. TEC REG MERCANTIL,ASSESSOR
ASS. TECNICO GNM,ASSESSOR
ASS.CONTABILIDADE,ASSESSOR
ASS.P/ASS.ADM.GERAL,ASSESSOR
ASS/ASS/ADM/GERAL,ASSESSOR
ASS/ESP/ASS/CULT.,ASSESSOR
ASS/NIVEL SUP.,ASSESSOR
ASSESS GERENCIAMEN COSTEIRO,ASSESSOR
ASSESS P ASS AGRIC ABASTEC,ASSESSOR
ASSESS P ASS EDUCACIONAIS,ASSESSOR
ASSESS P ASS PENITENCIARIO,ASSESSOR
ASSESS P/ ASS AGRIC ABASTEC,ASSESSOR
ASSESS P/ ASS EDUCACIONAIS,ASSESSOR
ASSESS P/ ASS PENITENCIARIO,ASSESSOR
ASSESS TEC P ASS TRABALHIST,ASSESSOR
Assessor,ASSESSOR
ASSESSOR,ASSESSOR
ASSESSOR  JURIDICO,ASSESSOR
ASSESSOR (A) TÉCNICA,ASSESSOR
ASSESSOR (A) TECNICA,ASSESSOR
ASSESSOR ADMIN JR,ASSESSOR
ASSESSOR ADMIN MEDIO JR,ASSESSOR
ASSESSOR ADMIN MEDIO SR,ASSESSOR
ASSESSOR ADMINISTRATIVO,ASSESSOR
ASSESSOR ADMINISTRATIVO I NEF,ASSESSOR
ASSESSOR ADMINISTRATIVO II NE,ASSESSOR
ASSESSOR ADMINISTRATIVO III N,ASSESSOR
ASSESSOR ADMINISTRATIVO IV NE,ASSESSOR
ASSESSOR ADMINISTRATIVO V NEF,ASSESSOR
ASSESSOR ASSUNTOS ESPECIA,ASSESSOR
ASSESSOR AUXILIAR,ASSESSOR
ASSESSOR AUXILIAR (ESTATUTARIO,ASSESSOR
ASSESSOR CERIMONIAL,ASSESSOR
ASSESSOR CONTABIL,ASSESSOR
ASSESSOR DA PRESIDENCIA,ASSESSOR
ASSESSOR DA REITORIA NEFETIVO,ASSESSOR
ASSESSOR DA SUC. DE GUARABIRA,ASSESSOR
ASSESSOR DE ADMINISTRADOR,ASSESSOR
ASSESSOR DE COMUNICACAO,ASSESSOR
ASSESSOR DE COMUNICACAO NEFET,ASSESSOR
ASSESSOR DE DIRETORIA,ASSESSOR
ASSESSOR DE GABINETE,ASSESSOR
ASSESSOR DE GABINETE NEFETIVO,ASSESSOR
ASSESSOR DE IMPRENSA,ASSESSOR
ASSESSOR DE PLANEJAMENTO,ASSESSOR
ASSESSOR DE PRESIDENCIA,ASSESSOR
ASSESSOR DE PRO-REITORIA NEFE,ASSESSOR
ASSESSOR DE SEGURANCA,ASSESSOR
ASSESSOR DEFESA DEFICIENTES,ASSESSOR
ASSESSOR DO SUPERINTENDENTE,ASSESSOR
ASSESSOR ESPECIAL,ASSESSOR
ASSESSOR ESPECIAL COMISSOES,ASSESSOR
ASSESSOR ESPECIAL DO SUPERINT,ASSESSOR
ASSESSOR ESPECIAL GABINETE,ASSESSOR
ASSESSOR FINANCEIRO,ASSESSOR
ASSESSOR GERENCIAL,ASSESSOR
ASSESSOR II,ASSESSOR
ASSESSOR III,ASSESSOR
ASSESSOR IV,ASSESSOR
ASSESSOR JUDICIARIO ADJUNTO,ASSESSOR
ASSESSOR JUR. DA ASSESSORIA JU,ASSESSOR
ASSESSOR JURIDICO,ASSESSOR
ASSESSOR JURIDICO DA .ASS. JUR,ASSESSOR
ASSESSOR JURIDICO NEFETIVO,ASSESSOR
