no_cargo,CATEGORIA
CHEFE SECAO TESOURARIA,CHEFIA
CHEFE SECAO TRANSPORTES,CHEFIA
CHEFE SEGET,CHEFIA
CHEFE SEMAP,CHEFIA
CHEFE SERVICO,CHEFIA
CHEFE SERVICOS GERAIS,CHEFIA
CHEFE SET. DE TRANSPORTE,CHEFIA
CHEFE SET.REPROGRAF.,CHEFIA
CHEFE SETOR,CHEFIA
CHEFE SETOR ADM PATOS,CHEFIA
CHEFE SETOR ADMINISTRATIVO,CHEFIA
CHEFE SETOR ADMINISTRATIVO CG,CHEFIA
CHEFE SETOR ALM/PATRIM.,CHEFIA
CHEFE SETOR ARMAZENS LOCAL,CHEFIA
CHEFE SETOR ARMAZENS LOCAL CG,CHEFIA
CHEFE SETOR CAD/ACOMP/PROJ.,CHEFIA
CHEFE SETOR CAD/ACOMP/PROJETO,CHEFIA
CHEFE SETOR CONTABILIDADE,CHEFIA
CHEFE SETOR DISC.REGUL,CHEFIA
CHEFE SETOR DIVULGACAO/COMUNI,CHEFIA
CHEFE SETOR EXP E NOTIFICAÇÃO,CHEFIA
CHEFE SETOR FINANCEIRO,CHEFIA
CHEFE SETOR PESSOAL,CHEFIA
CHEFE SETOR PROTOCOLO,CHEFIA
CHEFE SETOR REC HUMANOS,CHEFIA
CHEFE SETOR REPROGRAFIA,CHEFIA
CHEFE SETOR TESOURARIA,CHEFIA
CHEFE SETOR TESOURARIA CG,CHEFIA
CHEFE SETOR TESOURARIA PATOS,CHEFIA
CHEFE SETOR TITULACAO,CHEFIA
CHEFE SETOR TRANSPORTE,CHEFIA
CHEFE TER ROD,CHEFIA
CHEFE TER ROD C GRANDE,CHEFIA
CHEFE TER ROD CAJAZEIRAS,CHEFIA
CHEFE TER ROD GUARABIRA,CHEFIA
CHEFE TESOURARIA,CHEFIA
CHEFE UNID SET PLANEJAMENTO,CHEFIA
CHEFE UNIDADE APOIO ADM.,CHEFIA
CHEFIA DE GABINETE,CHEFIA
CHEFIA DE SECAO,CHEFIA
CIRURGIAO DENTISTA,MEDICO
CLARINETISTA PROF ORQUESTRA,MUSICO
CLASSIFICADOR,TECNICO
CO-GESTOR,CHEFIA
CO GESTOR,CHEFIA
COBRADOR,TECNICO
COLETOR DE DADOS,TECNICO
COLETOR ESTADUAL,TECNICO
COMANDANTE,TECNICO
COMANDANTE DE AERONAVE,TECNICO
COMISSIONADO,COMISSIONADO
COMUNICóLOGO,TECNICO
COMUNICOLOGO,TECNICO
CONCILIADOR,TECNICO
CONF. DISTRIBUIDOR,TECNICO
CONFERENTE,TECNICO
CONFERENTE DE CAPATAZIA,TECNICO
CONFERIDOR,TECNICO
CONFIANCA,ASSESSOR
CONS NIVEL SUPERIOR,CONSELHEIRO
CONSELHEIRO,CONSELHEIRO
CONSELHEIRO ADMINISTRATIVO,CONSELHEIRO
CONSELHEIRO DE ADMINISTRACAO,CONSELHEIRO
CONSELHEIRO FISCAL,CONSELHEIRO
CONSELHO ADMINISTRACAO,CONSELHEIRO
CONSELHO DE ADMINISTRACA?O - C,CONSELHEIRO
CONSELHO FISCAL,CONSELHEIRO
CONSELHO FISCAL - CONSELHEIRO,CONSELHEIRO
CONSULTOR,CONSULTOR
CONSULTOR DE ECON E FINANCAS,CONSULTOR
CONSULTOR DE FOMENTO,CONSULTOR
CONSULTOR DE MARKETING,CONSULTOR
CONSULTOR DE NIVEL SUPERIOR,CONSULTOR
CONSULTOR DE PLANEJAMENTO,CONSULTOR
CONSULTOR DE SISTEMA,CONSULTOR
CONSULTOR GERAL,CONSULTOR
CONSULTOR JURIDICO,CONSULTOR
CONSULTOR JURIDICO AL-AS-001,CONSULTOR
CONSULTOR JURIDICO PRESIDENCIA,CONSULTOR
CONSULTOR LEGISLATIVO,CONSULTOR
CONSULTOR ORGANIZACIONAL,CONSULTOR
CONSULTOR TECNICO,CONSULTOR
CONTADOR,TECNICO
CONTADOR  C5,TECNICO
CONTADOR  C7,TECNICO
CONTADOR  III4,TECNICO
CONTADOR  IV1,TECNICO
CONTADOR  IV5,TECNICO
CONTADOR (ESTATUTARIO),TECNICO
CONTADOR C4,TECNICO
CONTADOR C6,TECNICO
CONTADOR C7,TECNICO
CONTADOR D7,TECNICO
CONTINUO,TECNICO
CONTINUO - C6,TECNICO
CONTINUO I6,TECNICO
CONTRABAIXISTA PROF ORQUESTRA,MUSICO
CONTRABAIXISTA SUBSTITUTO,MUSICO
CONTRATO DE EMERGENCIA,CONTRATO DE EMERGENCIA
CONTROLADOR,TECNICO
CONTROLADOR  II6,TECNICO
CONTROLADOR  II7,TECNICO
COORD ADJ COPAE,COORDENADOR
COORD ATEND E PROTOCOLO,COORDENADOR
COORD CADAST IMOBILIARIO,COORDENADOR
COORD CONTRATOS E CONVENIOS,COORDENADOR
COORD COPAE,COORDENADOR
COORD DA ASSESSORIA JURIDICA,COORDENADOR
COORD DA CRECHE AL-DG-002,COORDENADOR
COORD DE ACOMP DE AÇÕES JUDIC,COORDENADOR
COORD DE ADM DE PESSOAL,COORDENADOR
COORD DE ADMN FINANCEIRA,COORDENADOR
COORD DE ASSESS ESPECIAL,COORDENADOR
COORD DE ASSESS TECNICA,COORDENADOR
COORD DE CAPAC E TREINAM,COORDENADOR
COORD DE CONTABILIDADE,COORDENADOR
COORD DE CONTROLE AMBIENTAL,COORDENADOR
COORD DE CONTROLE INTERNO,COORDENADOR
COORD DE DOCUMENTACAO,COORDENADOR
COORD DE ECONOMIA,COORDENADOR
COORD DE ESTAGIO TRAINEE,COORDENADOR
COORD DE FISCALIZACAO,COORDENADOR
COORD DE GEOPROCESSAMENTO,COORDENADOR
COORD DE MARKETING,COORDENADOR
COORD DE MATERIAL E PATRIMONI,COORDENADOR
COORD DE MICRO REGIAO,COORDENADOR
COORD DE ORC E FINANCAS,COORDENADOR
COORD DE PATR E MATERIAL,COORDENADOR
COORD DE PESSOAL,COORDENADOR
COORD DE RECURSOS HUMANOS,COORDENADOR
COORD DE SERV GERAIS,COORDENADOR
COORD DE SERVICOS GERAIS,COORDENADOR
COORD DE TOPOGRAFIA,COORDENADOR
COORD DO CERIMONIAL AL-AS-003,COORDENADOR
COORD DO PROCON LEGISL AL-AS-0,COORDENADOR
COORD ESC DO LEGISLAT AL-DG-00,COORDENADOR
COORD ESTUDOS ECON E FISCAIS,COORDENADOR
COORD EXECUCAO FINANCEIRA,COORDENADOR
COORD EXECUTIVO AL-OG-004,COORDENADOR
COORD GERAL CERIMONIAL AL-AS-0,COORDENADOR
COORD GERAL ESC LEGISLAT AL-DG,COORDENADOR
COORD LOCAL  A  / 200 L,COORDENADOR
COORD LOCAL  B  / 501 L,COORDENADOR
COORD LOCAL  C  /1001 L,COORDENADOR
COORD LOCAL  D  /3001 L,COORDENADOR
COORD LOCAL  E  /6001 L,COORDENADOR
COORD MEDICOES AMBIENTAIS,COORDENADOR
COORD ORCAMENTO E CUSTOS,COORDENADOR
COORD PESQUISA POTENCIALIDADE,COORDENADOR
COORD VISTORIA TECNICA,COORDENADOR
COORD.  ASSESS. TECNICA,COORDENADOR
COORD. ACOMP DAS ACOES,COORDENADOR
COORD. ADJUNTO,COORDENADOR
COORD. ADM DE PESSOAL,COORDENADOR
COORD. ADM. E FINANCAS,COORDENADOR
COORD. ADMINISTRATIVO,COORDENADOR
COORD. APOIO TECNICO,COORDENADOR
COORD. AREA,COORDENADOR
COORD. ARTES CENICAS,COORDENADOR
COORD. ARTES PLASTICAS,COORDENADOR
COORD. ARTESANATO,COORDENADOR
COORD. ASSESS ESPECIAL,COORDENADOR
COORD. ASSESSORIA JURIDICA,COORDENADOR
COORD. ASSESSORIA TECNICA,COORDENADOR
COORD. ATEND E PROTOCOLO,COORDENADOR
COORD. BILBL.MUSEUS E CINEMA,COORDENADOR
COORD. CAPACITAÇÃO/TREINAM.,COORDENADOR
COORD. CONCESSAO DE BENEFICIO,COORDENADOR
COORD. CONTABILIDADE,COORDENADOR
COORD. CONTRATOS E CONVENIOS,COORDENADOR
COORD. CONTROLE AMBIENTAL,COORDENADOR
COORD. CONTROLE INTERNO,COORDENADOR
COORD. CREDITO E ACAO FUND.,COORDENADOR
COORD. DA ASSESSORIA JURIDICA,COORDENADOR
COORD. DE EDUCACAO AMBIENTAL,COORDENADOR
COORD. DE ESTUDOS AMBIENTAIS,COORDENADOR
COORD. DE PATR E MATERIAL,COORDENADOR
COORD. DE REL. COM O MERCADO,COORDENADOR
COORD. DESENV. E FOMENTO,COORDENADOR
COORD. DESENVOLVIMENTO,COORDENADOR
COORD. DIVULGACAO,COORDENADOR
COORD. DOCUMENTACAO,COORDENADOR
COORD. ECONOMIA,COORDENADOR
COORD. EDUCACAO AMBIENTAL,COORDENADOR
COORD. ESTAGIO TRAINEE,COORDENADOR
COORD. ESTUDOS AMBIENTAIS,COORDENADOR
COORD. ESTUDOS E PROJETOS,COORDENADOR
COORD. ESTUDOS ECON E FISCAIS,COORDENADOR
COORD. FINANCEIRO,COORDENADOR
COORD. FISCALIZACAO,COORDENADOR
COORD. GEOPROCESSAMENTO,COORDENADOR
COORD. GUARDA PORTUARIA,COORDENADOR
COORD. HUM. DE AREAS P,COORDENADOR
COORD. JURIDICO,COORDENADOR
COORD. LIT.MEM.CULTURAL,COORDENADOR
COORD. LOCAL,COORDENADOR
COORD. LOCAL DESIGN,COORDENADOR
COORD. MARKETING,COORDENADOR
COORD. MATERIAL E PATRIMONIO,COORDENADOR
COORD. MEDICOES AMBIENTAIS,COORDENADOR
COORD. MICRO REGIAO,COORDENADOR
COORD. MUSICA,COORDENADOR
COORD. NUCLEO REGIONAL,COORDENADOR
COORD. OBRAS,COORDENADOR
COORD. ORC E FINANCAS,COORDENADOR
COORD. ORCAMENTO E CUSTOS,COORDENADOR
COORD. PATR E MATERIAL,COORDENADOR
COORD. PESQUISA,COORDENADOR
COORD. PESQUISA POTENCIALIDADE,COORDENADOR
COORD. PESSOAL,COORDENADOR
COORD. PLANEJAMENTO,COORDENADOR
COORD. PROG E PROJETOS,COORDENADOR
COORD. PROJETO OPERARIO,COORDENADOR
COORD. PROMOCOES,COORDENADOR
COORD. RECURSOS HUMANOS,COORDENADOR
COORD. RELACAO COM MERCARDO,COORDENADOR
COORD. SAUDE,COORDENADOR
COORD. SERVICOS GERAIS,COORDENADOR
COORD. SETOR,COORDENADOR
COORD. TOPOGRAFIA,COORDENADOR
COORD.DE ARTES PLASTICAS,COORDENADOR
COORD.DE BILBL.MUSEUS E CINEM,COORDENADOR
COORD.DE CREDITO E ACAO FUND.,COORDENADOR
COORD.DE DESENV. E FOMENTO,COORDENADOR
COORD.DE DIVULGACAO,COORDENADOR
COORD.DE MUSICA,COORDENADOR
COORD.DE PROMOCOES,COORDENADOR
COORD.LIT.MEM.CULTURAL,COORDENADOR
COORDENADOR,COORDENADOR
COORDENADOR ADJUNTO,COORDENADOR
COORDENADOR ASSESSORIA TECNIC,COORDENADOR
COORDENADOR DA ASSESSORIA JURI,COORDENADOR
COORDENADOR DA GUARDA PORTU?RI,COORDENADOR
COORDENADOR DE ADM FINANCAS,COORDENADOR
COORDENADOR DE ADM. E FINANCA,COORDENADOR
COORDENADOR DE AREA,COORDENADOR
COORDENADOR DE CONCESSAO DE B,COORDENADOR
COORDENADOR DE SERVICOS,COORDENADOR
COORDENADOR DE SETOR,COORDENADOR
COORDENADOR DE VISTORIA DO FA,COORDENADOR
COORDENADOR DIVULGACAO,COORDENADOR
COORDENADOR DO INPI,COORDENADOR
COORDENADOR JURIDICO,COORDENADOR
COPEIRA,OUTROS
COPISTA MUSICO,OUTROS
CORD.DE ARTES CENICAS,COORDENADOR
CORONEL,MILITAR
CORREGEDOR,OUTROS
CORREGEDOR GERAL,OUTROS
CORTADOR,OUTROS
COSTUREIRO,OUTROS
COZINHEIRO,COZINHEIRO
DATIL.PROFICIENTE,DATILOGRAFO
DATILOGRAFA,DATILOGRAFO
DATILOGRAFO,DATILOGRAFO
DEFENSOR PUBLICO,DEFENSOR
DEFENSOR PUBLICO 1A ENTRANCIA,DEFENSOR
DEFENSOR PUBLICO 2A ENTRANCIA,DEFENSOR
DEFENSOR PUBLICO 3A ENTRANCIA,DEFENSOR
DEFENSOR PUBLICO ESPECIAL,DEFENSOR
DELEGADO DE POLICIA,DELEGADO
DELEGADO DE POLICIA CIVIL,DELEGADO
DELEGADO REGIONAL,DELEGADO
DENTISTA,DENTISTA
DENTISTA IV1,DENTISTA
DEPOSITARIO PUBLICO 2. ENTRA,OUTROS
DEPUTADO,DEPUTADO
DEPUTADO ESTADUAL,DEPUTADO
DEPUTADO PRESIDENTE,DEPUTADO
DESEMBARGADOR,DESEMBARGADOR
DESENHISTA,DESENHISTA
DESENHISTA  VII7,DESENHISTA
DESENHISTA PROJETISTA,DESENHISTA
DESENHISTA TECNICO,DESENHISTA
DESENHISTA TECNICO VI6,DESENHISTA
DESENHISTA TECNICO VI7,DESENHISTA
DESIGNER PROMOCIONAL,OUTROS
DIAGRAMADOR,DIAGRAMADOR
DIAGRAMADOR DIARIO OFICIAL,DIAGRAMADOR
DIGITADOR,DIGITADOR
DIGITADOR II IV7,DIGITADOR
DIR DE AGENCIA,DIRETOR
DIR DE CASA DE PERMANENC,DIRETOR
DIR. ADJUNTO,DIRETOR
DIR. ADMINISTRATIVO,DIRETOR
DIR. ADMINISTRATIVO FINANCEIRO,DIRETOR
DIR. AGENCIA,DIRETOR
DIR. ATEND INST PROC E,DIRETOR
DIR. BIBLIOTECA,DIRETOR
DIR. CASA DE PERMANENCIA,DIRETOR
DIR. CASA LAR,DIRETOR
DIR. CETRIM,DIRETOR
DIR. CRECHE,DIRETOR
DIR. DEPART DOC E ARQUIVO,DIRETOR
DIR. DEPART PESQUISA,DIRETOR
DIR. DEPART PESSOAL,DIRETOR
DIR. DEPART PROG CULTURAL,DIRETOR
DIR. DEPART. DOCUMENT.,DIRETOR
DIR. DEPARTAMENTO,DIRETOR
DIR. DES.ARTIST.CULTURAL,DIRETOR
DIR. DESENVOLVIMENTO,DIRETOR
DIR. DIDEC,DIRETOR
DIR. DIRAF,DIRETOR
DIR. DIROP,DIRETOR
DIR. DIV APOIO ADMINISTRATIVO,DIRETOR
DIR. DIV CONTAB FINANCAS,DIRETOR
DIR. DIV CONTABILIDIDADE,DIRETOR
DIR. DIV REG MERCANTIL,DIRETOR
DIR. DIVISAO,DIRETOR
DIR. ECONOMIA E FOMENTO,DIRETOR
DIR. ENGENHARIA,DIRETOR
DIR. EVENTOS,DIRETOR
DIR. EXECUTIVO,DIRETOR
DIR. EXECUTIVO DE ACOMPANHA,DIRETOR
DIR. EXECUTIVO DE ADMINISTR,DIRETOR
DIR. EXECUTIVO DE GESTAO E,DIRETOR
DIR. FINANCEIRO,DIRETOR
DIR. FISCALIZACAO,DIRETOR
DIR. GERAL,DIRETOR
DIR. MANUTENCAO,DIRETOR
DIR. MARKETING,DIRETOR
DIR. MUSEU,DIRETOR
DIR. NUC DOC E ARQUIVO,DIRETOR
DIR. NUC LIVROS MERCANTIS,DIRETOR
DIR. NUC PROT E INFORMACAO,DIRETOR
DIR. NUC SERVICOS GERAIS,DIRETOR
DIR. NUCLEO,DIRETOR
DIR. OBRAS,DIRETOR
DIR. OPERACIONAL,DIRETOR
DIR. PLANEJAMENTO,DIRETOR
DIR. PRESIDENTE,DIRETOR
DIR. PROCESSAMENTO DE D,DIRETOR
DIR. PROGRAMACAO,DIRETOR
DIR. REGULACAO,DIRETOR
DIR. SERVICOS GERAIS,DIRETOR
DIR. SUPERINTENDENTE,DIRETOR
DIR. TEC.EST.P. SAUDE E SAUDE,DIRETOR
DIR. TECNICO,DIRETOR
DIR. TRANSPORTES,DIRETOR
DIR. UNID.CULTURA,DIRETOR
DIR. VICE PRESIDENTE,DIRETOR
DIR.DE UNID.CULT.I,DIRETOR
DIR.DE UNID.CULT.II,DIRETOR
DIR.DES.ARTIST.CULT,DIRETOR
DIRETOR,DIRETOR
DIRETOR  TECNICO,DIRETOR
DIRETOR ADJ DE UNIDADE,DIRETOR
DIRETOR ADJUNTO,DIRETOR
DIRETOR ADM  FINANCEIRO,DIRETOR
DIRETOR ADM FINANCEIRO,DIRETOR
DIRETOR ADM FINNCEIRO,DIRETOR
DIRETOR ADM.FINANCEIRO,DIRETOR
DIRETOR ADMINIST. FINANCEIRO,DIRETOR
DIRETOR ADMINISTRATIVO,DIRETOR
DIRETOR ADMINSTRATIVO,DIRETOR
DIRETOR DA BIBLIOTECA,DIRETOR
DIRETOR DE ADM. E FINANCAS,DIRETOR
DIRETOR DE ADMINISTRACAO E  FI,DIRETOR
DIRETOR DE CASA LAR,DIRETOR
DIRETOR DE CRECHE,DIRETOR
DIRETOR DE DEPART. DOCUMENT.,DIRETOR
DIRETOR DE DEPARTAMENTO,DIRETOR
DIRETOR DE DEPARTAMENTO AL-DG-,DIRETOR
DIRETOR DE DIVIS?O AL-DG-002,DIRETOR
DIRETOR DE DIVISÃO AL-DG-002,DIRETOR
DIRETOR DE DIVISÃO AL DG 002,DIRETOR
DIRETOR DE DIVISAO,DIRETOR
DIRETOR DE DIVISAO AL-DG-002,DIRETOR
DIRETOR DE ECONOMIA E FOMENTO,DIRETOR
DIRETOR DE EVENTOS,DIRETOR
DIRETOR DE FISCALIZACAO,DIRETOR
DIRETOR DE MANUTENCAO,DIRETOR
DIRETOR DE MARKETING,DIRETOR
DIRETOR DE MUSEU,DIRETOR
DIRETOR DE NUCLEO,DIRETOR
DIRETOR DE OBRAS,DIRETOR
DIRETOR DE OPERACOES,DIRETOR
DIRETOR DE PROCESSAMENTO DE D,DIRETOR
DIRETOR DE PROGRAMACAO,DIRETOR
DIRETOR DE REGULACAO,DIRETOR
DIRETOR DE SERVICOS GERAIS,DIRETOR
DIRETOR DE TRANSPORTES,DIRETOR
DIRETOR DE UNIDADE,DIRETOR
DIRETOR DEPART DOC E ARQUIVO,DIRETOR
DIRETOR DEPART PESQUISA,DIRETOR
DIRETOR DEPART PESSOAL,DIRETOR
DIRETOR DEPART PROG CULTURAL,DIRETOR
DIRETOR DIDEC,DIRETOR
DIRETOR DIRAF,DIRETOR
DIRETOR DIROP,DIRETOR
DIRETOR DIV APOIO ADMINISTRAT,DIRETOR
DIRETOR DIV CONTAB FINANCAS,DIRETOR
DIRETOR DIV CONTABILIDIDADE,DIRETOR
DIRETOR DIV REG MERCANTIL,DIRETOR
DIRETOR ENGENHARIA,DIRETOR
DIRETOR ESCOLA TECNICA,DIRETOR
DIRETOR ESCOLAR,DIRETOR
DIRETOR EXECUTIVO,DIRETOR
DIRETOR EXECUTIVO DE ACOMPANHA,DIRETOR
DIRETOR EXECUTIVO DE ADMINISTR,DIRETOR
DIRETOR EXECUTIVO DE GESTAO E,DIRETOR
DIRETOR FINANCEIRO,DIRETOR
DIRETOR GERAL,DIRETOR
DIRETOR GERAL AL-DS-001,DIRETOR
DIRETOR NUC DOC E ARQUIVO,DIRETOR
DIRETOR NUC LIVROS MERCANTIS,DIRETOR
DIRETOR NUC SERVICOS GERAIS,DIRETOR
DIRETOR PRESIDENTE,DIRETOR
DIRETOR SUPERINTENDENTE,DIRETOR
DIRETOR TECNICO,DIRETOR
DIRETOR(A) DE BIBLIOTECA,DIRETOR
DIRETORA ADMINISTRATIVO,DIRETOR
DIRETORA SUPERINTENDENTE,DIRETOR
DIRETORIA DE DESENVOLVIMENTO,DIRETOR
DISCOTECARIO,TECNICO
ECONOMISTA,TECNICO
ECONOMISTA   C7,TECNICO
ECONOMISTA  I1,TECNICO
ECONOMISTA  IV1,TECNICO
ECONOMISTA  IV5,TECNICO
ECONOMISTA C6,TECNICO
ECONOMISTA C7,TECNICO
ECONOMISTA D7,TECNICO
EDITOR,EDITOR
EDITOR DE CADERNO,EDITOR
EDITOR DE CORREIOS,EDITOR
EDITOR DE CULTURA,EDITOR
EDITOR DE ESPORTES,EDITOR
EDITOR DO CORREIO DAS ARTES,EDITOR
EDITOR DO DIARIO OFICIAL,EDITOR
EDITOR GERAL,EDITOR
EDITOR PAGINA,EDITOR
EDUC FISICA,PROFESSOR
EDUCADOR,PROFESSOR
ELETRICISTA,ELETRICISTA
ELETRICISTA  IV1,ELETRICISTA
ELETRICISTA  IV7,ELETRICISTA
ELETRICISTA MANUTENCAO,ELETRICISTA
ELETRICISTA MANUTENCAO II VI6,ELETRICISTA
EMBALADOR,OUTROS
EMENDADOR,OUTROS
ENCADERNADOR,OUTROS
ENCANADOR,ENCANADOR
ENCANADOR  I7,ENCANADOR
ENCANADOR JUNIOR,ENCANADOR
ENCANADOR SENIOR,ENCANADOR
ENCARREGADO CRED E COBRANCA,OUTROS
ENCARREGADO DE MANUTENCAO,OUTROS
ENCARREGADO DE PROVISAO,OUTROS
ENCARREGADO DE SERVICO,OUTROS
ENCARREGADO OPER. PORTUARIA,OUTROS
ENCARREGADO POSTO AGRICOLA,OUTROS
ENFERMEIRO,ENFERMEIRO
ENFERMEIRO DO TRABALHO,ENFERMEIRO
ENFERMEIRO NEFETIVO,ENFERMEIRO
ENFERMEIRO TEMPORARIO,ENFERMEIRO
ENG.AGRONOMO I-IV,ENGENHEIRO
ENG.AGRONOMO I-VI,ENGENHEIRO
ENG.AGRONOMO II-II,ENGENHEIRO
ENG.AGRONOMO II-III,ENGENHEIRO
ENG.AGRONOMO II-VI,ENGENHEIRO
ENG.AGRONOMO III-VII,ENGENHEIRO
ENG.ALIMENTOS II-V,ENGENHEIRO
ENG.CARTOGRAF.II-IV,ENGENHEIRO
ENG.CARTOGRAF.II-VI,ENGENHEIRO
ENGENHEIRO,ENGENHEIRO
ENGENHEIRO (ESTATUTARIO),ENGENHEIRO
ENGENHEIRO AGRONOMO,ENGENHEIRO
ENGENHEIRO AGRONOMO  II-III,ENGENHEIRO
ENGENHEIRO AGRONOMO I2,ENGENHEIRO
ENGENHEIRO AGRONOMO I5,ENGENHEIRO
ENGENHEIRO AGRONOMO II2,ENGENHEIRO
ENGENHEIRO AGRONOMO II5,ENGENHEIRO
ENGENHEIRO AGRONOMO III2,ENGENHEIRO
ENGENHEIRO AGRONOMO III3,ENGENHEIRO
ENGENHEIRO AGRONOMO IV-3,ENGENHEIRO
ENGENHEIRO AGRONOMO IV 5,ENGENHEIRO
ENGENHEIRO AGRONOMO IV2,ENGENHEIRO
ENGENHEIRO AMBIENTAL,ENGENHEIRO
ENGENHEIRO C5,ENGENHEIRO
ENGENHEIRO C6,ENGENHEIRO
ENGENHEIRO CARTOGRAFICO,ENGENHEIRO
ENGENHEIRO CARTOGRAFO,ENGENHEIRO
ENGENHEIRO CIVIL,ENGENHEIRO
ENGENHEIRO CIVIL  III4,ENGENHEIRO
ENGENHEIRO CIVIL  IV1,ENGENHEIRO
ENGENHEIRO CIVIL III2,ENGENHEIRO
ENGENHEIRO D6,ENGENHEIRO
ENGENHEIRO D7,ENGENHEIRO
ENGENHEIRO DE ALIMENTOS,ENGENHEIRO
ENGENHEIRO DE MATERIAIS,ENGENHEIRO
ENGENHEIRO DE MINAS,ENGENHEIRO
ENGENHEIRO ELETRICISTA,ENGENHEIRO
ENGENHEIRO IV,ENGENHEIRO
ENGENHEIRO MECANICO,ENGENHEIRO
ENGENHEIRO MECANICO  III 3,ENGENHEIRO
ENGENHEIRO MECANICO  IV1,ENGENHEIRO
ENGENHEIRO MECANICO I2,ENGENHEIRO
ENGENHEIRO MECANICO II2,ENGENHEIRO
ENGENHEIRO MECANICO IV 5,ENGENHEIRO
ENGENHEIRO MECANICO IV2,ENGENHEIRO
ENGENHEIRO NEFETIVO,ENGENHEIRO
ENGENHEIRO QUIMICO,ENGENHEIRO
ENGENHEIRO SANITARISTA,ENGENHEIRO
ENGENHEIRO SEGURANCA,ENGENHEIRO
ENGOMADEIRA,OUTROS
ENXERTADOR,OUTROS
ESCREVENTE COMPROM 1.ENTRA,ESCREVENTE/ESCRIVAO
ESCREVENTE COMPROM 3. ENTRA,ESCREVENTE/ESCRIVAO
ESCREVENTE COMPROM PRIM ENTRA,ESCREVENTE/ESCRIVAO
ESCREVENTE COMPROM TERC ENTRA,ESCREVENTE/ESCRIVAO
ESCREVENTE DATILOGRAFO,ESCREVENTE/ESCRIVAO
ESCREVENTE DISTRITAL,ESCREVENTE/ESCRIVAO
ESCREVENTE SUBSTITUTO,ESCREVENTE/ESCRIVAO
ESCRITURARIO,ESCREVENTE/ESCRIVAO
ESCRIVAO DE COLETORIA,ESCREVENTE/ESCRIVAO
ESCRIVAO DE POLICIA,ESCREVENTE/ESCRIVAO
ESCRIVAO DO CRIME E JURI,ESCREVENTE/ESCRIVAO
ESCRIVAO SUBSTITUTO,ESCREVENTE/ESCRIVAO
ESTAGIARIO,ESTAGIARIO
ESTAGIARIO(A),ESTAGIARIO
ESTATISTICO,ESTATISTICO
ESTATISTICO C7,ESTATISTICO
ESTATISTICO D7,ESTATISTICO
ESTATUTARIO,ESTATUTARIO
EX-DIRETOR,DIRETOR
EX GOVERNADOR,GOVERNADOR
EXECUTOR DE MANUTENCAO,OUTROS
EXT. RURAL,OUTROS
EXT. RURAL II-BIOLOGA,OUTROS
EXT. RURAL II-ENG.AGRONOMO,OUTROS
EXT. RURAL II-ENG.CIVIL,OUTROS
EXT. RURAL II-ENG.FLORESTAL,OUTROS
EXT. RURAL II-TEC.COOPERATIV.,OUTROS
EXT. RURAL II-VETERINÁRIO,OUTROS
EXT. RURAL II-ZOOTECNISTA,OUTROS
EXT. RURAL II.ENG.PESCA,OUTROS
EXT. SOCIAL,OUTROS
EXT. SOCIAL II,OUTROS
EXT.RURAL I,OUTROS
EXT.RURAL II-BIOLOGA,OUTROS
EXT.RURAL II-ENG.AGRONOMO,OUTROS
EXT.RURAL II-ENG.FLORESTAL,OUTROS
EXT.RURAL II-VET.,OUTROS
EXT.RURAL II-ZOOT.,OUTROS
EXT.RURAL II.ENG.PESCA,OUTROS
EXT.RURALII-TEC.COOPERATIVISMO,OUTROS
EXT.SOCIAL,OUTROS
EXT.SOCIAL I,OUTROS
FAGOTISTA PROF ORQUESTRA,MUSICO
FARMACEUTICO,FARMACEUTICO
FARMACEUTICO BIOQUIMICO,FARMACEUTICO
FARMACEUTICO INDUSTRIAL,FARMACEUTICO
FARMACEUTICO/BIOQUIMICO,FARMACEUTICO
FATURAMENTO,OUTROS
FATURISTA,OUTROS
FIEL,OUTROS
FISC. TRANSP. COLETIVO I  IV5,FISCAL
FISC. TRANSP. COLETIVO I  IV7,FISCAL
FISC.TRANSP.COLETIVO I    IV5,FISCAL
FISC.TRANSP.COLETIVO I    IV6,FISCAL
FISC.TRANSP.COLETIVO I    IV7,FISCAL
FISC.TRANSP.COLETIVO II  VI3,FISCAL
FISC.TRANSP.COLETIVO II  VI6,FISCAL
FISC.TRANSP.COLETIVO II  VI7,FISCAL
FISCAL,FISCAL
FISCAL DE CAMPO,FISCAL
FISCAL DE CAMPO  IV1,FISCAL
FISCAL DE CAMPO  IV2,FISCAL
FISCAL DE CAMPO  IV7,FISCAL
FISCAL DE DEFESA CONSUMIDOR,FISCAL
FISCAL DE OBRAS,FISCAL
FISCAL DEFESA DO CONSUMIDOR,FISCAL
FISCAL ESTADUAL AGROPECUARIO,FISCAL
FISCAL TRANSPORTE COLETIVO,FISCAL
FISIOTERAPEUTA,OUTROS
FITOTECARIA,OUTROS
FLAUTISTA PROF ORQUESTRA,MUSICO
FONOAUDIOLOGO,OUTROS
FOTOG.LABORATORISTA,OUTROS
FOTOGRAFO,OUTROS
FOTOGRAFO LABORATORISTA,OUTROS
FUNDIDOR,OUTROS
GARÇON,OUTROS
GARCON,OUTROS
GARCONETE,OUTROS
GAZETEIRO,OUTROS
GENRENTE ADMINISTRATIVO FINANC,GERENTE
GEOGRAFO,GEOGRAFO
GEOLOGO,OUTROS
